CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;PMIMP15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PAUT15
01106;Cize;70,0;165,0;111,3;;;19336,0;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;60,0;128,0;89,4;;;22812,0;;;;;;;;;;;;;;;;;;;
01108;Coligny;505,0;1079,0;756,6;;;20710,0;;;;;;;;;;;;;;;;;;;
01109;Collonges;774,0;2009,5;1298,5;45;18822,0;30144,0;47400,0;28578,0;7940,0;15848,0;20552,0;25532,0;37016,0;43192,0;50376,0;63966,0;8,1;9,5;0,4;84,5;80,0;2,4;2,1;12,6;2,9
01110;Colomieu;67,0;154,0;106,1;;;19575,0;;;;;;;;;;;;;;;;;;;
01111;Conand;55,0;121,5;82,6;;;19300,0;;;;;;;;;;;;;;;;;;;
01112;Condamine;164,0;454,5;288,7;;;21632,0;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;327,0;809,0;536,6;;;19110,0;;;;;;;;;;;;;;;;;;;
01114;Confort;206,0;504,5;333,8;;;24900,0;;;;;;;;;;;;;;;;;;;
01115;Confrançon;534,0;1322,0;874,6;;;20200,0;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;210,0;499,5;336,9;;;20478,0;;;;;;;;;;;;;;;;;;;
01117;Conzieu;54,0;148,0;92,2;;;18156,0;;;;;;;;;;;;;;;;;;;
01118;Corbonod;435,0;1037,5;696,0;;;23924,0;;;;;;;;;;;;;;;;;;;
01121;Corlier;42,0;103,0;69,6;;;21084,0;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;328,0;797,0;537,8;;;23206,0;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;425,0;1129,5;737,5;;;21990,0;;;;;;;;;;;;;;;;;;;
01124;Cormoz;293,0;666,0;457,7;;;20160,0;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;249,0;597,5;400,9;;;21114,0;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;211,0;493,0;333,9;;;22054,0;;;;;;;;;;;;;;;;;;;
01128;Courtes;124,0;298,0;198,2;;;19790,0;;;;;;;;;;;;;;;;;;;
01129;Crans;106,0;258,5;174,3;;;20840,0;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;542,0;1422,0;918,3;;;22040,0;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;169,0;425,5;284,5;;;21432,0;;;;;;;;;;;;;;;;;;;
01134;Crottet;701,0;1788,5;1186,2;;;22114,0;;;;;;;;;;;;;;;;;;;
01135;Crozet;725,0;1954,0;1252,9;;;36086,0;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;326,0;878,5;569,7;;;22042,0;;;;;;;;;;;;;;;;;;;
01138;Culoz;1243,0;2770,0;1910,2;51;12538,0;18918,0;25348,0;12810,0;7758,0;10999,0;13850,0;16458,0;21092,0;23642,0;27718,0;32482,0;4,2;5,5;0,3;64,3;58,0;4,2;2,2;32,6;3,1
01139;Curciat-Dongalon;195,0;435,5;299,4;;;17590,0;;;;;;;;;;;;;;;;;;;
01140;Curtafond;292,0;734,0;488,0;;;22430,0;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;172,0;431,0;287,7;;;22892,0;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1767,0;4742,5;3059,9;66;16570,0;22680,0;30278,0;13708,0;11188,0;15046,0;17746,0;20538,0;25010,0;28362,0;32099,0;38896,0;3,5;4,3;0,3;75,8;70,1;2,8;2,9;20,4;3,8
01143;Divonne-les-Bains;3772,0;8878,5;5959,7;69;24078,0;44958,0;73564,0;49486,0;11306,0;20182,0;27830,0;36328,0;54994,0;66382,0;82552,0;109572,0;9,7;12,8;0,4;81,6;75,8;2,4;3,4;14,1;4,3
01144;Dommartin;350,0;898,5;587,0;;;20534,0;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;482,0;1191,0;794,6;;;19974,0;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;162,0;449,0;284,9;;;21564,0;;;;;;;;;;;;;;;;;;;
01147;Domsure;196,0;484,0;322,1;;;17524,0;;;;;;;;;;;;;;;;;;;
01148;Dortan;762,0;1813,5;1231,9;;;22084,0;;;;;;;;;;;;;;;;;;;
01149;Douvres;426,0;1087,0;717,9;;;25414,0;;;;;;;;;;;;;;;;;;;
01150;Drom;84,0;205,5;136,8;;;22446,0;;;;;;;;;;;;;;;;;;;
01151;Druillat;477,0;1169,0;783,1;;;21726,0;;;;;;;;;;;;;;;;;;;
01152;Échallon;301,0;764,0;504,0;;;25438,0;;;;;;;;;;;;;;;;;;;
01153;Échenevex;707,0;2011,0;1265,7;62;26466,0;45676,0;71526,0;45060,0;8428,0;22824,0;29216,0;37102,0;53910,0;63490,0;78268,0;105238,0;12,5;14,8;0,4;81,2;76,8;1,9;2,5;13,1;5,7
01154;Étrez;306,0;838,0;533,4;;;19816,0;;;;;;;;;;;;;;;;;;;
01155;Évosges;65,0;146,0;100,5;;;19938,0;;;;;;;;;;;;;;;;;;;
01156;Faramans;287,0;792,5;505,9;;;24198,0;;;;;;;;;;;;;;;;;;;
01157;Fareins;850,0;2219,0;1452,7;66;18108,0;24596,0;32098,0;13990,0;12946,0;17076,0;19536,0;21548,0;27580,0;30716,0;34550,0;45400,0;3,5;4,4;0,3;67,2;60,5;2,2;4,5;24,7;8,1
01158;Farges;347,0;900,5;583,5;;;34578,0;;;;;;;;;;;;;;;;;;;
01159;Feillens;1403,0;3406,5;2292,9;62;15902,0;21144,0;27968,0;12066,0;11702,0;14600,0;16788,0;19074,0;23414,0;26186,0;30112,0;37270,0;3,2;3,9;0,3;69,9;63,0;2,3;4,5;23,9;6,2
01160;Ferney-Voltaire;3555,0;7571,0;5266,0;45;8376,0;23646,0;46694,0;38318,0;154,0;5774,0;11262,0;16980,0;31514,0;41770,0;53160,0;70752,0;459,4;53,0;0,5;73,7;69,3;2,9;1,4;21,2;5,1
01163;Foissiat;820,0;2004,0;1346,7;57;15625,0;20608,0;26922,0;11297,0;11374,0;14156,0;16570,0;18806,0;22916,0;25222,0;28698,0;34944,0;3,1;3,7;0,3;69,2;61,5;2,5;5,1;26,0;4,8
01165;Francheleins;553,0;1595,0;997,4;;;22722,0;;;;;;;;;;;;;;;;;;;
01166;Frans;861,0;2336,5;1519,0;70;19182,0;24820,0;31946,0;12764,0;13938,0;17824,0;20342,0;22720,0;27118,0;30322,0;33772,0;39916,0;2,9;3,6;0,2;72,9;66,2;2,2;4,5;22,9;4,2
01167;Garnerans;255,0;680,0;445,0;;;22242,0;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;230,0;645,5;411,5;;;22888,0;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;363,0;1079,5;675,6;;;21116,0;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;321,0;947,0;603,5;;;21752,0;;;;;;;;;;;;;;;;;;;
01172;Germagnat;62,0;146,0;99,4;;;18022,0;;;;;;;;;;;;;;;;;;;
