CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
09056;Bézac;35;150;185
09057;Biert;28;40;68
09058;Bompas;8;51;59
09059;Bonac-Irazein;20;10;30
09060;Bonnac;50;230;280
09061;Les Bordes-sur-Arize;35;90;125
09062;Bordes-Uchentein;20;25;45
09063;Le Bosc;5;15;20
09064;Bouan;0;21;21
09065;Boussenac;48;24;72
09066;Brassac;68;235;303
09067;Brie;25;95;120
09068;Burret;5;5;10
09069;Buzan;10;0;10
09070;Les Cabannes;45;82;127
09071;Cadarcet;30;97;126
09072;Calzan;0;24;24
09073;Camarade;35;30;65
09074;Camon;20;30;49
09075;Campagne-sur-Arize;29;65;93
09076;Canté;12;79;91
09077;Capoulet-et-Junac;10;90;100
09078;Carcanières;24;5;29
09079;Carla-Bayle;89;176;265
09080;Carla-de-Roquefort;30;45;75
09081;Le Carlaret;29;109;139
09082;Castelnau-Durban;92;95;187
09083;Castéras;12;12;23
09084;Castex;30;0;30
09085;Castillon-en-Couserans;50;57;106
09086;Caumont;59;88;147
09087;Caussou;9;21;30
09088;Caychax;5;5;10
09089;Cazals-des-Baylès;4;21;25
09090;Cazaux;17;12;29
09091;Cazavet;30;81;111
09092;Cazenave-Serres-et-Allens;5;15;20
09093;Celles;0;33;33
09094;Cérizols;15;31;46
09095;Cescau;11;57;68
09096;Château-Verdun;0;5;5
09097;Clermont;15;44;58
09098;Contrazy;4;33;37
09099;Cos;36;173;208
09100;Couflens;10;10;20
09101;Coussa;8;101;109
09102;Coutens;20;39;59
09103;Crampagna;62;272;334
09104;Dalou;49;247;297
09105;Daumazan-sur-Arize;84;193;278
09106;Dreuilhe;45;80;124
09107;Dun;77;138;215
09108;Durban-sur-Arize;29;43;71
09109;Durfort;40;30;70
09110;Encourtiech;5;25;30
09111;Engomer;57;57;115
09113;Ercé;64;108;172
09114;Erp;15;15;30
09115;Esclagne;0;55;55
09116;Escosse;25;145;170
09117;Esplas;20;40;59
09118;Esplas-de-Sérou;34;54;88
09119;Eycheil;41;167;208
09120;Fabas;46;57;103
09121;Ferrières-sur-Ariège;42;293;335
09122;Foix;2151;1217;3368
09123;Fornex;25;5;30
09124;Le Fossat;216;221;437
09125;Fougax-et-Barrineuf;54;83;137
09126;Freychenet;20;15;35
09127;Gabre;9;23;32
09128;Gajan;24;126;150
09129;Galey;39;10;48
09130;Ganac;40;196;236
09131;Garanou;0;64;64
09132;Gaudiès;29;57;86
09134;Gestiès;0;18;18
09135;Goulier;15;0;15
09136;Gourbit;0;6;6
09137;Gudas;9;62;70
09138;L'Herm;25;50;75
09139;L'Hospitalet-près-l'Andorre;24;20;44
09140;Ignaux;20;20;40
09141;Illartein;5;10;15
09142;Ilhat;15;30;45
09145;Les Issards;30;80;110
09146;Justiniac;0;19;19
09147;Labatut;5;74;79
09148;Lacave;5;66;71
09149;Lacourt;15;82;97
09150;Lagarde;12;45;58
09151;Lanoux;0;15;15
09153;Lapenne;25;50;76
09154;Larbont;0;18;18
09155;Larcat;0;25;25
09156;Larnat;5;5;10
09157;Laroque-d'Olmes;297;498;795
09158;Lasserre;29;73;102
09159;Lassur;5;32;37
09160;Lavelanet;986;701;1687
09161;Léran;65;160;225
09162;Lercoul;0;5;5
09163;Lescousse;5;0;5
09164;Lescure;70;164;234
09165;Lesparrou;28;59;88
09166;Leychert;10;25;35
09167;Lézat-sur-Lèze;335;545;880
09168;Lieurac;5;45;50
09169;Limbrassac;20;35;55
09170;Lissac;14;100;115
09171;Lordat;13;21;34
09173;Loubens;20;122;143
09174;Loubières;10;134;143
09175;Ludiès;0;17;17
09176;Luzenac;90;105;195
09177;Madière;10;59;69
09178;Malegoude;10;14;24
09179;Malléon;9;13;22
09180;Manses;24;32;57
09181;Le Mas-d'Azil;251;151;402
09182;Massat;140;75;215
09183;Mauvezin-de-Prat;5;45;50
09184;Mauvezin-de-Sainte-Croix;5;10;15
09185;Mazères;630;810;1440
09186;Méras;20;30;50
09187;Mercenac;25;120;145
09188;Mercus-Garrabet;102;373;475
09189;Mérens-les-Vals;20;66;86
09190;Mérigon;8;35;43
09192;Miglos;36;5;41
09193;Mijanès;5;5;10
09194;Mirepoix;585;460;1045
09195;Monesple;0;10;10
09196;Montagagne;5;15;20
09197;Montaillou;5;0;5
09198;Montardit;5;70;75
09199;Montaut;70;235;305
09200;Montbel;25;36;61
09201;Montégut-en-Couserans;4;36;40
09202;Montégut-Plantaurel;85;100;185
09203;Montels;12;32;43
09204;Montesquieu-Avantès;20;60;80
09205;Montfa;5;24;29
09206;Montferrier;20;100;120
09207;Montgaillard;93;403;496
09208;Montgauch;25;40;65
09209;Montjoie-en-Couserans;85;355;440
09210;Montoulieu;19;149;168
09211;Montségur;11;6;17
09212;Montseron;9;18;27
09213;Moulin-Neuf;10;59;69
09214;Moulis;71;203;274
09215;Nalzen;5;62;67
09216;Nescus;15;19;34
09217;Niaux;20;41;61
09218;Orgeix;5;34;39
09219;Orgibet;19;24;43
09220;Orlu;17;51;68
09221;Ornolac-Ussat-les-Bains;15;70;85
09223;Oust;61;120;181
09224;Pailhès;68;116;184
09225;Pamiers;3401;2035;5436
09226;Pech;15;20;35
09227;Péreille;10;80;90
09228;Perles-et-Castelet;15;85;100
09229;Le Peyrat;20;140;160
09231;Le Port;28;19;46
09232;Prades;29;0;29
